group,P
ANKRD20A11P,0.836681469649301
ANKRD20A19P,0.469320326764327
ANKRD20A2,0.967275972806942
ANKRD20A3,0.967275972806942
ANKRD20A4,0.353960103413423
ANKRD20A4-ANKRD20A20P,0.709518044993045
ANKRD20A5P,0.773898074500225
ANKRD20A8P,0.644421927844923
ANKRD20A9P,0.0259600589009697
ANKRD22,0.914784508798302
ANKRD23,0.601835358160486
ANKRD24,0.62599401096505
ANKRD26,0.263981448800586
ANKRD26P1,0.492482861860831
ANKRD26P3,0.172761155247196
ANKRD27,0.441744810984722
ANKRD28,0.440147801124022
ANKRD29,0.532336369733175
ANKRD30A,0.151069408378993
ANKRD30B,0.398300554769364
ANKRD30BL,0.23181516710678
ANKRD30BP2,0.972259722978807
ANKRD30BP3,0.628753937683956
ANKRD31,0.108139543558506
ANKRD33,0.102788365832875
ANKRD33B,0.550084185239084
ANKRD34A,0.903723570722446
ANKRD34B,0.618495635161964
ANKRD34C,0.0953514734786159
ANKRD34C-AS1,0.620017322696835
ANKRD35,0.650259559725857
ANKRD36,0.956624813373143
ANKRD36B,0.5427292292851
ANKRD36BP1,0.0670407751670333
ANKRD36BP2,0.251627615269643
ANKRD36C,0.261159021494659
ANKRD37,0.809544585352397
ANKRD39,0.314142198513791
ANKRD40,0.719357484196146
ANKRD40CL,0.830608391244778
ANKRD42,0.12637633810174
ANKRD44,0.989798926393343
ANKRD44-AS1,0.650536677046796
ANKRD44-IT1,0.805307647589249
ANKRD45,0.38879637968452
ANKRD46,0.339230706407449
ANKRD49,0.261966359935982
ANKRD50,0.880787175789208
ANKRD52,0.568217450314183
ANKRD53,0.984870213879002
ANKRD54,0.333949236911459
ANKRD55,0.408821595545381
ANKRD6,0.410775992294805
ANKRD60,0.0318975705318298
ANKRD61,0.503603040533883
ANKRD62,0.942829153437658
ANKRD62P1-PARP4P3,0.0732304593867117
ANKRD63,0.787014019502334
ANKRD65,0.0650785028085234
ANKRD66,0.427048220736868
ANKRD7,0.986103743584686
ANKRD9,0.0920502947515709
ANKS1A,0.202296306926212
ANKS1B,0.600148213795066
ANKS3,0.75288542889007
ANKS6,0.498124483691489
ANKUB1,0.169528115599879
ANKZF1,0.721518694780118
ANLN,0.163519358700684
ANO1,0.099365458327874
ANO10,0.180628686765239
ANO2,0.526693098499539
ANO3,0.101701912984366
ANO3-AS1,0.272861281695328
ANO5,0.695877665480437
ANO6,0.684964589816327
ANO7,0.0750415387504503
ANO8,0.875275163053973
ANO9,0.765389111931836
ANOS1,0.0221317410347956
ANP32A,0.830187852379667
ANP32A-IT1,0.916995263093121
ANP32AP1,0.42254459234868
ANP32B,0.467487541596075
ANP32C,0.331240830998447
ANP32D,0.113797805790837
ANP32E,0.373896948649894
ANPEP,0.553510305462609
ANTKMT,0.633077801451932
ANTXR1,0.136645922966406
ANTXR2,0.650144609659986
ANTXRL,0.260410504792421
ANTXRLP1,0.346659284320604
ANXA1,0.411655393977061
ANXA10,0.764007637456875
ANXA11,0.932924096548217
ANXA13,0.128352090001882
ANXA2,0.317676247839194
ANXA2P1,0.22373027082449
ANXA2P2,0.404359103589983
ANXA2P3,0.162526139179781
ANXA2R,0.0168681890725979
ANXA3,0.64699554650601
ANXA4,0.845975450697299
ANXA5,0.165117741013501
ANXA6,0.684043985696219
ANXA7,0.548519775426673
ANXA8,0.556021946125946
ANXA8L1,0.617466443480175
ANXA9,0.304923179855608
AOAH,0.299028824117317
AOAH-IT1,0.704627443805679
AOC1,0.0806332631659637
AOC2,0.281415502071501
AOC3,0.283128156246514
AOC4P,0.3684463905906
AOPEP,0.70156622513479
AOX1,0.564837434192556
AOX3P-AOX2P,0.311537256365344
AP1AR,0.0934779884672324
AP1B1,0.963233978205732
AP1B1P1,0.352881619925038
AP1G1,0.628302876373122
AP1G2,0.956505566491879
AP1M1,0.815223133114335
AP1M2,0.287109153697191
AP1S1,0.109296268022028
AP1S2,0.487186406688497
AP1S3,0.837193862215621
AP2A1,0.211903213274455
AP2B1,0.837909381628499
AP2M1,0.234543997688126
AP2S1,0.541028100027459
AP3B1,0.258041601577159
AP3B2,0.524792539537632
AP3D1,0.705268623473093
AP3M1,0.725277206751735
AP3M2,0.44132309141487
AP3S1,0.509120726517091
AP3S2,0.283582855689899
AP4B1,0.250226756202108
AP4B1-AS1,0.0541265818228314
AP4E1,0.532053275904115
AP4M1,0.51677523456278
AP4S1,0.169047451867856
AP5B1,0.613746803402848
AP5M1,0.92484549522027
AP5S1,0.0830652283745367
AP5Z1,0.852449953807415
APAF1,0.527886319118458
APBA1,0.869171899424408
APBA3,0.0122951469934616
APBB1,0.80122699239919
APBB1IP,0.973334310236758
APBB2,0.587480339467073
APBB3,0.367833259247984
APC,0.392006249544285
APC2,0.971720074261452
APCDD1,0.874466905011592
APCDD1L,0.304940843390547
APCDD1L-DT,0.152011469487293
APCS,0.996933065255181
APEH,0.820289162206985
APELA,0.880920306289905
APEX1,0.70630296063271
APEX2,0.403277025183565
APH1A,0.164530378268171
APH1B,0.16017750130626
API5,0.656684668346859
APIP,0.436179532215073
APLF,0.792999461709624
APLN,0.382151402918008
APLNR,0.552758841103743
APLP1,0.526467684245758
APLP2,0.734451280417967
APMAP,0.230546877249756
APOA1,0.596189847662854
APOA1-AS,0.731134866480973
APOA2,0.681355249107833
APOA4,0.60582376979529
APOA5,0.703516818427174
APOB,0.707816746423152
APOBEC1,0.555376658441323
APOBEC2,0.878718775727523
APOBEC3A,0.0473359262290128
